sample_id,soil_type,mean_speed,std_speed,mean_accel_x,std_accel_x,mean_accel_y,std_accel_y,mean_accel_z,std_accel_z,mean_gyro_x,std_gyro_x,mean_gyro_y,std_gyro_y,mean_gyro_z,std_gyro_z,speed_drop,rms_accel_z,cluster_label
18,gravel,2.9680156250000005,0.23153826521306134,-1.2214169354601503,4.486931837380824,-2.5879449428166494,4.211685235133638,8.940472718646435,4.835973953014452,1.8673780735937502,15.693707512351336,-0.29535054835937435,34.131502694756556,-19.010099312499996,69.29406682285119,0.46699999999999964,10.15558902035059,2
19,gravel,2.5550937499999997,0.1624289759990332,-1.516876383888441,4.064266249075824,-2.5490765754890474,4.788295717085511,9.654393721510795,5.157537821731724,11.733993901796875,16.719949335105593,5.0638338226562505,15.523213887519583,-20.565929839218747,63.30763709749479,-0.3919999999999999,10.936164797510198,0
20,gravel,2.9499687499999996,0.3556074970091799,-0.1042599983701801,3.4080935922854128,-2.5055694388401824,3.4450726287931825,9.244274467184809,3.9714038665813685,-4.4235899696875,16.10017384394165,3.972465733671876,21.701260887486495,13.82717232671875,33.64422868873324,0.802,10.055120087094753,0
21,gravel,2.369859375,0.009034260577004988,-0.5884498722267184,3.0564584423758343,-2.160018812647265,2.675782720259019,9.60067383555164,3.593044126152555,5.500190639375,11.787615777915338,0.050971845703125296,20.58143895305706,-9.430735293749997,50.846784049901494,-0.017999999999999794,10.246074618068507,0
22,gravel,2.7451875000000006,0.22552733479593437,0.020687397168345,3.197809951256114,-2.7205238696693734,2.831197881362954,9.552677549916375,4.244192288014577,8.30030487625,14.749201638518286,-0.44636058382812493,26.959289264428175,21.912157020859375,47.28374464536582,-0.504,10.446343315913511,2
23,gravel,2.9726875,0.09083980448426875,-0.0711526824533305,1.9821149621183487,-2.31055424410584,1.7453550232258987,9.129090953926262,2.8633707451988126,-1.84689406953125,13.824476567518602,-17.419016835546877,9.375433021631206,-16.4195882484375,31.884502129359873,0.08400000000000007,9.564263684444171,5
24,gravel,2.6073749999999993,0.21813609130702924,-1.6193033272092496,1.649657719521868,-1.494655204656425,1.9554350116376853,9.567267234095812,3.2699725516609868,5.156250042109374,13.843775564974065,9.353086941406252,6.017927471788288,-19.757050224375,19.118129341907917,0.4379999999999997,10.106521950621898,0
25,gravel,2.2293125,0.09238960213507354,-1.3067477836240085,1.658585774805801,-2.0652233888650136,2.1544784517316637,9.708787011737979,2.7719346501924202,3.9372141873437503,18.41763026707675,8.226943580312499,6.939204395200277,14.507907725703125,22.89834917471841,0.19600000000000017,10.09376731699615,0
26,gravel,2.4469609375000005,0.11080374949906331,0.2911199576894138,2.7681977444056476,-2.3762825714137668,2.308441035329167,9.333944776686748,3.918781633750451,2.6143292640625,8.133098745475605,-2.7300876915625008,23.840536023665102,13.51229038,46.6781981738301,-0.45699999999999985,10.117282204257894,2
27,gravel,2.6289765624999992,0.009194713342181094,-0.018779520037995115,1.7361078687671943,-2.5555484016409675,2.1391174258914085,9.34082812608832,3.3217279612484583,5.7926829565625,9.588725384256282,-7.315644037265625,12.515993009261628,-3.9991424525000006,36.84250468479125,-0.019000000000000128,9.909527968997603,5
28,gravel,2.679593750000001,0.0320490366162777,-0.8625111474622041,2.5326156822915222,-2.7555016545644486,2.2565305148453696,9.398513418698524,3.5802025700373683,1.8935785321093754,13.725813821979454,-1.2623857214843748,18.664730751089973,-7.060308645546874,52.07693733892514,-0.06500000000000039,10.05235124074842,5
29,gravel,2.4835859375,0.11030084324773515,-0.2386719800654164,1.5480537006727022,-2.6642975374172737,2.051432239380425,8.95412716445049,3.0063732421923577,-3.7442835433593746,9.37641446741161,1.51200456546875,9.152482875245145,-1.4129192953125003,24.28281028670192,0.4670000000000005,9.441613304169092,1
30,gravel,2.22859375,0.016700906430207614,-1.2131120507997164,1.80809645584915,-1.728164692893047,2.402198099611176,9.581482804844086,3.6336719697971973,1.1666349009375,11.64346007474716,1.2233231760937497,9.555151454928126,-2.2241805858593753,30.432379726647902,0.03699999999999992,10.242325508276284,1
31,gravel,2.360812499999999,0.1545296011701164,-0.33649756394091196,2.811725383573456,-1.8756699495484037,2.6958920728032907,9.67919616199925,3.956964478650074,0.24342608937499965,15.185045678074415,0.5106708001562499,15.007699482947352,5.8198360749999996,35.134457797082604,-0.30799999999999983,10.450936870857827,0
32,gravel,2.598859375,0.05365150515973912,-0.36186113312769497,3.174205013626879,-2.326041722947936,4.224811927868884,9.816002340006955,6.838931898028691,7.3570884807812496,10.96529415938229,0.6245236943750003,24.70813419853421,8.266482207734374,46.43747976039915,-0.121,11.948200412170099,2
33,gravel,2.8471875,0.22618540753699642,0.030039746675492973,1.4691510126429101,-2.2489035464305083,1.9704177404035985,9.03766237534754,2.233473453419304,-6.499618942031249,11.95788160210925,-10.548304093359373,9.30142666853346,3.501810041718749,35.41268054130803,0.23299999999999965,9.307457922239124,5
34,gravel,2.2956250000000002,0.12425164965079905,-0.8128688732346765,1.7266208392705094,-2.7945570728462257,1.962832715588418,9.49091462561265,2.766007513811143,8.30316306265625,15.181439338321766,-0.269626520546875,7.023863315400348,-15.515910798593747,15.235860913320261,0.2520000000000002,9.882736773846595,1
35,gravel,2.2997734375,0.1175955443236837,-0.9184756157694557,1.718894607233867,-1.4450877570569436,2.4061728681285097,9.835006332999313,3.7771045071765426,-6.190929859921875,20.081603606503265,4.63509908875,8.660247307100539,9.518388102500001,23.721186254223884,-0.24299999999999988,10.530071740155227,0
36,gravel,2.1344531249999994,0.19400478358316203,-0.5631985291779957,1.7001151862598873,-1.7621324188717133,2.150574901847883,9.272481149326062,3.2400686509178307,4.47837268359375,21.615417458899223,-1.57679114734375,7.363647785954053,-11.342892509921874,21.676064265686847,-0.2330000000000001,9.818092256226672,1
37,gravel,2.6277890624999998,0.008779586509150335,-0.551826072778574,1.1408420396224497,-2.0715081684604284,1.5611606007256593,9.590573293275597,2.0152335037168045,-1.6925495219531252,5.075216076313899,0.5244855578124998,6.928200208413005,12.48856715515625,20.506485131620867,-0.019000000000000128,9.79839447604743,1
38,gravel,2.7398124999999993,0.09318289103211144,-0.09243863101354875,1.0872849331345162,-1.8231097520189319,1.1956704682854704,9.559598332664734,1.4865173130687361,0.6269054915624999,3.71753954634032,-3.53849087609375,8.620428132825294,2.05887955,28.062885755144052,-0.18599999999999994,9.673592427802399,1
39,gravel,2.7992499999999993,0.016084422943249212,-0.8242413280366869,1.4795618156986665,-2.1462521488301105,2.2867849616212603,9.79138697207795,2.7727795491125695,3.15167687984375,5.329737975543781,0.20626906664062505,5.781850464010957,9.459794324843749,25.071447664520456,0.03699999999999992,10.173470419231881,1
40,gravel,2.8105624999999996,0.06772381965033797,-0.4977320806283221,1.550040866403334,-2.109590925508556,2.1592699333116356,9.056292241501202,2.582257411889486,-5.2458079615625,6.358940461087162,-0.9189215639062497,13.262756478269456,-6.30525901875,26.999017251265546,0.1120000000000001,9.41447759241077,5
41,gravel,2.5899140625,0.10188020040105833,-0.7209913849858671,1.1128742374259966,-1.7523311610352315,1.6765928652991855,9.63793357168969,1.5229221377825233,2.723894808203125,3.4283168703080684,-2.2437118848437496,10.21157276991733,-6.393864366406249,23.563547207725943,0.20499999999999963,9.756584233355898,1
42,gravel,2.711875000000001,0.17356434736767037,-0.4520926106464961,0.9527223019369782,-1.619116279859785,1.838614251568662,9.754538690795828,2.528331701888684,0.5573551774999999,6.062317679423406,2.06507241234375,5.095989470726822,4.644626567265625,18.011646354336047,-0.3639999999999999,10.074400486476797,1
43,gravel,2.9393359375,0.05222442143662063,-0.4425906237041401,2.0206624843065484,-2.0692261935742327,2.0146496007374117,9.582941779697645,3.2522261610814245,2.511909316171875,4.7906704058780445,-4.03820504703125,9.293320737166328,5.1772102609375,26.28833116687869,-0.22299999999999986,10.115686607378043,1
44,gravel,3.0019218750000007,0.08343346723422448,-0.2616039408611169,1.4040702621929213,-2.0104186228431686,1.6251754538705383,9.449240569820734,2.4745923621276984,-0.5197217617187501,6.4314297948892225,-3.5508765304687504,11.189188164390423,12.8067835940625,27.675779086195586,0.17700000000000005,9.765444896294126,5
45,gravel,2.784820312500001,0.08831470513571692,-0.682160422818595,1.4060822000738546,-1.8297312133459336,1.2732273978020752,9.693411749771258,1.8916680872447282,0.1033727279687499,7.198675384377348,-3.873856688046875,10.883444439825821,-8.533250803671875,38.3090444526527,0.1769999999999996,9.874851046431726,5
